entity,code,year,literacy_rate
Afghanistan,AFG,2021,37
Albania,ALB,2017,98.816231
Angola,AGO,2015,66.235863
Armenia,ARM,2022,99.824997
Azerbaijan,AZE,2023,100
Bahrain,BHR,2023,98
Bangladesh,BGD,2022,79
Belarus,BLR,2019,100
Belize,BLZ,2015,90.916039
Benin,BEN,2022,51.378769
Bhutan,BTN,2017,67
Bolivia,BOL,2020,94
Brazil,BRA,2018,93
Burkina Faso,BFA,2022,40.923611
Burundi,BDI,2017,68
Cambodia,KHM,2021,71.927254
Cameroon,CMR,2018,72.547127
Cape Verde,CPV,2015,87
Central African Republic,CAF,2019,42.442791
Chad,TCD,2019,30.62792
Chile,CHL,2017,96
China,CHN,2020,97
Colombia,COL,2020,96
Cote d'Ivoire,CIV,2021,50.000641
Cuba,CUB,2019,97.654907
Democratic Republic of Congo,COD,2018,73.553032
Dominican Republic,DOM,2016,94
East Timor,TLS,2016,65.779129
Ecuador,ECU,2022,94
Egypt,EGY,2017,71
El Salvador,SLV,2023,90
Eswatini,SWZ,2022,90.747017
Ethiopia,ETH,2016,47.491589
Gabon,GAB,2021,88.858337
Gambia,GMB,2021,51.637402
Georgia,GEO,2023,99.555473
Ghana,GHA,2021,76.48568
Guatemala,GTM,2022,83.031174
Guinea,GIN,2018,40
Guinea-Bissau,GNB,2022,63.934132
Guyana,GUY,2020,85.638351
Haiti,HTI,2017,68.009857
Honduras,HND,2019,89
India,IND,2023,82
Indonesia,IDN,2020,96
Iran,IRN,2016,86
Iraq,IRQ,2017,86
Italy,ITA,2019,99
Jordan,JOR,2023,95
Kiribati,KIR,2018,97.959709
Kuwait,KWT,2020,96
Laos,LAO,2015,85
Lebanon,LBN,2018,93
Lesotho,LSO,2018,86.240868
Macao,MAC,2016,97
Madagascar,MDG,2021,74.686142
Malawi,MWI,2020,70.152267
Malaysia,MYS,2022,96
Maldives,MDV,2019,98.211861
Mali,MLI,2018,35
Mauritania,MRT,2020,59.529659
Mauritius,MUS,2016,93
Mexico,MEX,2020,95
Mongolia,MNG,2022,98.726219
Montenegro,MNE,2018,98.534401
Mozambique,MOZ,2020,60
Myanmar,MMR,2019,89
Nauru,NRU,2023,96.58654
Nepal,NPL,2019,68.712502
Niger,NER,2022,35.609711
Nigeria,NGA,2021,63.15554
Oman,OMN,2022,97
Pakistan,PAK,2021,58.856098
Palau,PLW,2015,97
Palestine,PSE,2022,98
Panama,PAN,2019,96
Papua New Guinea,PNG,2017,70.063683
Paraguay,PRY,2020,95
Peru,PER,2020,94
Philippines,PHL,2020,98
Puerto Rico,PRI,2017,92
Romania,ROU,2021,99
Russia,RUS,2021,100
Rwanda,RWA,2022,79
Samoa,WSM,2019,97.990257
San Marino,SMR,2022,100
Sao Tome and Principe,STP,2019,87.438461
Saudi Arabia,SAU,2020,98
Senegal,SEN,2023,50.35582
Serbia,SRB,2019,99
Sierra Leone,SLE,2019,43.577782
Singapore,SGP,2021,98
Somalia,SOM,2022,54
South Africa,ZAF,2021,90
Spain,ESP,2021,100
Sri Lanka,LKA,2023,93
Syria,SYR,2021,94
Tanzania,TZA,2015,78
Thailand,THA,2022,91.099869
Togo,TGO,2022,72.595886
Tonga,TON,2019,91.05162
Tunisia,TUN,2023,86.246819
Turkey,TUR,2021,97
Uganda,UGA,2016,69.101318
United Arab Emirates,ARE,2023,98
Uruguay,URY,2022,99
Uzbekistan,UZB,2022,100
Vanuatu,VUT,2023,87.96032
Venezuela,VEN,2016,97
Vietnam,VNM,2022,96
World,OWID_WRL,2023,87.356033
Zambia,ZMB,2018,71.132301
Zimbabwe,ZWE,2019,93.227547
